composite_key;id;word;no;german;czech
30077;77;pokoj;3;Im Zimmer ist es sehr ruhig.;V pokoji je velmi klidno.
40077;77;pokoj;4;Ich arbeite mit dem Computer im Zimmer.;Pracuji na počítači v pokoji.
10405;405;zrcadlo;1;Ich habe ein neues Spiegel gekauft.;Koupil jsem nové zrcadlo.
20405;405;zrcadlo;2;Der Rahmen des Spiegels ist alt.;Rám zrcadla je starý.
30405;405;zrcadlo;3;Hinter dem Spiegel ist eine Wand.;Za zrcadlem je zeď.
40405;405;zrcadlo;4;Ich putze mit einem Tuch das Spiegel.;Mytí zrcadlem hadříkem
10001;1;být;1;Ich bin müde.;Jsem unavený.
20001;1;být;2;Du bist sehr nett.;Jsi velmi milý.
30001;1;být;3;Er war gestern zu Hause.;Byl včera doma.
40001;1;být;4;Wir waren im Kino.;Byli jsme v kině.
10029;29;mít;1;Ich habe viele Bücher.;Mám hodně knih.
20029;29;mít;2;Ihr habt einen Hund.;Máte psa.
30029;29;mít;3;Er hatte gestern Geburtstag.;Měl včera narozeniny.
40029;29;mít;4;Wir hatten keine Zeit.;Neměli jsme čas.
10032;32;stát;1;Ich stehe vor dem Haus.;Stojím před domem.
20032;32;stát;2;Wie viel kostet das?;Kolik to stojí?
30032;32;stát;3;Das Auto stand vor dem Hotel.;Auto stálo před hotelem.
40032;32;stát;4;Wir standen lange in der Schlange.;Stáli jsme dlouho ve frontě.
10030;30;líbit se;1;Mir gefällt dieser Film.;Ten film se mi líbí.
20030;30;líbit se;2;Gefällt euch das neue Zimmer?;Líbí se vám ten nový pokoj?
30030;30;líbit se;3;Ihm gefiel das Konzert nicht.;Jemu se ten koncert nelíbil.
40030;30;líbit se;4;Uns gefielen die Bilder.;Obrázky se nám líbily.
10229;229;ptát se;1;Ich frage den Lehrer.;Ptám se učitele.
20229;229;ptát se;2;Fragst du oft nach dem Weg?;Ptáš se často na cestu?
30229;229;ptát se;3;Er fragte nach der Adresse.;Ptal se na adresu.
40229;229;ptát se;4;Wir haben nach dem Preis gefragt.;Ptali jsme se na cenu.
10236;236;bydlet;1;Ich wohne in Prag.;Bydlím v Praze.
20236;236;bydlet;2;Wo wohnt ihr?;Kde bydlíte?
30236;236;bydlet;3;Sie wohnte früher in Brünn.;Dříve bydlela v Brně.
40236;236;bydlet;4;Wir haben in einer kleinen Wohnung gewohnt.;Bydleli jsme v malém bytě.
10263;263;chtít;1;Ich will einen Kaffee.;Chci kávu.
20263;263;chtít;2;Wollt ihr ins Kino gehen?;Chcete jít do kina?
30263;263;chtít;3;Er wollte ein neues Auto.;Chtěl nové auto.
40263;263;chtít;4;Wir wollten dort nicht bleiben.;Nechtěli jsme tam zůstat.
10544;544;moct;1;Ich kann dir helfen.;Můžu ti pomoct.
20544;544;moct;2;Kannst du das wiederholen?;Můžeš to zopakovat?
30544;544;moct;3;Er konnte nicht kommen.;Nemohl přijít.
40544;544;moct;4;Wir konnten gestern nichts machen.;Včera jsme nemohli nic dělat.
10562;562;hrát;1;Ich spiele Gitarre.;Hraju na kytaru.
20562;562;hrát;2;Spielt ihr Fußball?;Hrajete fotbal?
30562;562;hrát;3;Er spielte gestern Schach.;Včera hrál šachy.
40562;562;hrát;4;Wir spielten Karten den ganzen Abend.;Celý večer jsme hráli karty.
